free energy profile (in units of kcal/mol), from KDE
     bin        f
    56.7    8.942
    60.2    6.506
    63.7    4.978
    67.1    3.779
    70.6    2.983
    74.1    2.377
    77.5    1.942
    81.0    1.761
    84.5    1.758
    87.9    2.111
    91.4    2.584
    94.9    3.451
    98.3    3.702
   101.8    2.703
   105.3    2.152
   108.7    2.012
   112.2    1.605
   115.7    1.527
   119.1    1.866
   122.6    1.412
   126.1    0.803
   129.5    0.409
   133.0    0.125
   136.5    0.075
   139.9    0.071
   143.4    0.000
   146.9    0.247
   150.3    0.810
   153.8    1.316
   157.3    1.830
